公告id	增发对象	增发数量	增发金额	锁定期	认购方式
1009448	千石创富	36036036	200000000		现金
1009448	华宸未来	18018018	100000000		现金
1091524	英达钢构		399999798		现金
1091524	长沙泽瑞		249999993		现金
1091524	长沙泽洺		249999993		现金
1091524	宁波贝鑫		199999899		现金
1091524	宁波理瑞		199999899		现金
1091524	天津恒丰		199999899		现金
1122421	周一峰	38152610	379999995.6		现金
1122421	施建刚	15060241	150000000.36		现金
1122421	华昌化工	15060241	150000000.36		现金
1134649	通威集团有限公司		587041032.96		现金
1139548	成清波		4.212		现金
1139548	上海芮森投资中心（有限合伙）		2.574		现金
1139548	上海乾灏投资管理中心（有限合伙）		2.574		现金
1139548	上海跃慧投资中心（有限合伙）		4.68		现金
1148496	中国贵州航空工业（集团）有限责任公司		29200		现金
1148496	中航通用飞机有限责任公司		14600		现金
1148496	西安国际信托有限公司		14600		现金
1148496	浙江金帆达生化股份有限公司		14600		现金
1148496	上海英博企业发展有限公司		14600		现金
1148496	深圳市恒运盛投资顾问有限公司		5621		现金
1158488	南车集团		60		现金
1158488	社保基金		50		现金
12057288	曹国熊		20000		现金
12057288	陈宝芳		10000		现金
12057288	吴一晖		8000		现金
12057288	陈焕		4000		现金
12057288	员工持股计划		18000		现金
1221678	天津旺根股权投资管理合伙企业（有限合伙）	6400000			现金
1221678	周艳	5200000			现金
1221678	上海力利投资管理合伙企业（有限合伙）	4500000			现金
1221678	江西新拓投资股份有限公司	6300000			现金
1221678	鹰潭瑞民投资管理有限合伙企业	4800000			现金
1221678	昆明盛世景投资中心（有限合伙）	4500000			现金
1221678	上海科祥股权投资中心(有限合伙)	2553582			现金
1221678	西藏自治区矿业发展总公司	7361753			现金
1288658	财政部		11513050549		现金
1288658	社保基金		8542686202		现金
1288658	平安资产		3209501804		现金
1288658	一汽集团		1999999997.45		现金
1288658	上海海烟		1999999997		现金
1288658	浙江烟草		1499999996		现金
1288658	云南红塔		999999996		现金
1323591	沈建杨		10020		现金
1323591	沈建杨		10020		现金
1323591	沈建杨		10020		现金
1323591	中原信托有限公司		7515		现金
1323591	何厚忠		5060.1		现金
1323591	华基丰收（天津）投资合伙企业（有限合伙）		5010		现金
1323591	周厚娟		2554.8996		现金
14043764	睿康投资		1637070000		现金
1407435	沈阳化工集团有限公司		32292		现金
1407435	华安基金管理有限公司		14904		现金
1407435	上海证券有限责任公司		14904		现金
1407435	海通证券股份有限公司		14904		现金
1407435	中国人民财产保险股份有限公司		14904		现金
1407435	恒泰证券有限责任公司		14904		现金
14253339	文创产业基金——文创定增基金		459078750		现金
14253339	文创产业基金——屹唐定增基金		372367788		现金
14253339	文建发展基金		230000550		现金
14253339	耀莱文化		235750424		现金
14253339	建投传媒		174808244		现金
14253339	凯石资管——凯石3号基金		183999322		现金
14253339	四川信托		91997984		现金
14253339	华信超越		275999542		现金
14253339	青岛同印信		183999322		现金
14253339	汇邦国际		91997984		现金
14323698	苏州汇方同达信息科技有限公司	3177966			现金
14323698	圆信永丰基金管理有限公司	3177966			现金
14323698	陆尔穗	3177966			现金
14323698	王友林	3177966			现金
14323698	苏州市历史文化名城发展集团创业投资有限公司	3177966			现金
14323698	沃九华	3177966			现金
14323698	银河金汇证券资产管理有限公司	3177966			现金
14323698	苏州广电传媒集团有限公司	6355932			现金
14323698	天治基金管理有限公司	3072034			现金
14471248	东吴基金管理有限公司		241249996.98		现金
14471248	鹏华基金管理有限公司		381999998.31		现金
14471248	东久（上海）投资管理咨询有限公司		399999994.08		现金
14471248	融通基金管理有限公司		241009989.99		现金
14471248	弘创（深圳）投资中心（有限合伙）		803329995.69		现金
14471248	德邦基金管理有限公司		342410020.11		现金
14475884	龙跃投资		207680		现金
14475884	信利隆科技		131950		现金
14475884	德勤贸易		61600		现金
14475884	兴隆17号资管计划		55674		现金
14475884	兴隆18号资管计划		24640		现金
14475884	吕清明		9240		现金
14475884	丰信管理		12350.8		现金
1464152	北京华联集团投资控股有限公司		386062604.7		现金
1464152	洋浦万利通科技有限公司		389874000		现金
1464152	海南亿雄商业投资管理有限公司		523643395.3		现金
14663216	上海沪瑞实业有限公司		85038146.13		现金
14663216	红土创新基金管理有限公司		97999994.88		现金
14663216	汇安基金管理有限责任公司		84999992.88		现金
14663216	东吴证券股份有限公司		84999992.88		现金
14663216	兴业全球基金管理有限公司		193999988.19		现金
14663216	东海基金管理有限责任公司		129999987.18		现金
14663216	财通基金管理有限公司		88499999.73		现金
14663216	诺安基金管理有限公司		84843392.25		现金
14945390	广发证券资产管理（广东）有限公司		9999987.2		现金
14945390	上海国药圣礼股权投资基金合伙企业（有限合伙）		0		现金
14945390	嘉兴会凌贰号投资合伙企业（有限合伙）		0		现金
14945390	红土创新基金管理有限公司（红土创新红人7、8、10、11号资产管理计划）		299999988.8		现金
14945390	上海智越投资管理有限公司		0		现金
1526604	福建省冶金（控股）有限责任公司	5625000			现金
1526604	福建省冶金工业设计院	1000000			现金
1526604	五矿有色金属股份有限公司	9252000			现金
1526604	交银施罗德基金管理有限公司	8000000			现金
1526604	易方达基金管理有限公司	5000000			现金
1526604	鹏华基金管理有限公司	5000000			现金
1526604	UBSAG	4500000			现金
1526604	厦门航空开发股份有限公司	4223000			现金
1526604	汇添富基金管理有限公司	2000000			现金
15307660	成都力鼎银科股权投资基金中心（有限合伙）		109999998.8		现金
15307660	银华基金管理股份有限公司		109999998.8		现金
15307660	财通基金管理有限公司		109999998.8		现金
15307660	鹏华资产管理（深圳）有限公司		109999998.8		现金
15307660	西藏广博环保投资有限责任公司		109999998.8		现金
15308414	蚌埠市城市投资控股有限公司		699999978.93		现金
15308414	浙江浙银资本管理有限公司		743199979.59		现金
15308414	金鹰基金管理有限公司		295664988.33		现金
15308414	金鹰基金管理有限公司		197202004.74		现金
15308414	金鹰基金管理有限公司		197132995.35		现金
15308414	华安未来资产管理（上海）有限公司		689999988.42		现金
15308414	北信瑞丰基金管理有限公司		296010035.28		现金
15308414	北信瑞丰基金管理有限公司		196994976.57		现金
15308414	北信瑞丰基金管理有限公司		196994976.57		现金
15474473	赵东日		160049004.84		现金
15498026	楚昌投资集团有限公司		200000		现金
15498026	长城国泰（舟ft）产业并购重组基金合伙企业（有限合伙）		50000		现金
15498026	华夏人寿保险股份有限公司		40000		现金
15498026	湖北中经资本投资发展有限公司		40000		现金
15498026	周明德		30000		现金
15498026	宁波梅ft保税港区厚扬启航二期股权投资中心（有限合伙）		20000		现金
15498026	新疆沣华盛鼎股权投资管理有限公司		20000		现金
1561572	宜安实业		30000		现金
1561572	睿泰投资		60000		现金
1563529	陈创煌		30000		现金
1563529	西安普润（注）		20204		现金
1563529	曹毅斌		9796		现金
1563529	互兴投资		15000		现金
1563839	杨宗昌		715666000		现金
1563839	刘令安		448140000		现金
1563839	曾建文		67900000		现金
1563839	何芳林		67900000		现金
1563839	上银瑞金得壹普泰22号资产管理计划		336784000		现金
1563839	东海基金-金龙13号资产管理计划		203700000		现金
15702239	中国信达资产管理股份有限公司		1899999998.38		现金
15729476	中银基金管理有限公司	572	9209.2		现金
15729476	江苏盛和投资有限公司	254	5003.8		现金
15729476	广州市广盐小额贷款有限公司	250	4925		现金
15729476	广东省盐业集团有限公司	235	4629.5		现金
15729476	广东省盐业集团有限公司	380	6954		现金
15729476	广东省盐业集团有限公司	530	9169		现金
15729476	广州金控资本管理有限公司	240	4677.6		现金
15729476	广州金控资本管理有限公司	260	4760.6		现金
15729476	广州金控资本管理有限公司	300	4806		现金
15729476	嘉实基金管理有限公司	1260	23083.2		现金
