公告id	股东全称	股东简称	变动截止日期	变动价格	变动数量	变动后持股数	变动后持股比例
100417	华润深国投信托有限公司		2015-03-23		15444089		
100809	平安人寿	平安人寿	2015-03-20	55.25	691380		
1017839	诚威国际投资有限公司	诚威国际	2013-11-30	17.48	126700		
1017839	诚威国际投资有限公司	诚威国际	2013-12-31	17.71	674372		
1017839	诚威国际投资有限公司	诚威国际	2014-01-23	19.82	635000		
1021605	广州诚信创业投资有限公司	诚信创投	2014-01-21	11.67	192		
1021605	广州诚信创业投资有限公司	诚信创投	2014-01-22	12.29	25	0	0
1021759	华谊兄弟传媒股份有限公司	华谊兄弟	2013-06-17	31.00	3000000		
1021759	华谊兄弟传媒股份有限公司	华谊兄弟	2014-01-21	32.10	7700000		
105152	海印集团	海印集团	2015-03-10	12.24	6942300		
105152	海印集团	海印集团	2015-03-24	16.37	12220000		
105152	海印集团	海印集团	2015-03-25	15.42	12970000		
1060363	新湖中宝股份有限公司	新湖中宝	12月11日		46000000		
1060363	新湖中宝股份有限公司	新湖中宝	2013-12-31		40340000		
1079366	2009年8月25日中兆公司		当年12月31日		53900		
108271	浙江大东南集团有限公司	大东南集团	2015-03-02		2056000		
108271	浙江大东南集团有限公司	大东南集团	2015-03-04		1312700		
108271	浙江大东南集团有限公司	大东南集团	2015-03-05		1678812		
108271	浙江大东南集团有限公司	大东南集团	2015-03-09		8488		
108271	浙江大东南集团有限公司	大东南集团	2015-03-17		50000		
108271	浙江大东南集团有限公司	大东南集团	2015-03-18		276372		
108271	浙江大东南集团有限公司	大东南集团	2015-03-23		1506192		
108271	浙江大东南集团有限公司	大东南集团	2015-03-24		1367402		
1087003	股东康美实业有限公司	康美实业	2012-12-17		1000000		
1087003	股东康美实业有限公司	康美实业	2013-12-17		2211600		
1087003	股东康美实业有限公司	康美实业	2013-12-17		668874274		
1092560	诚威国际投资有限公司	诚威国际	2013-08-30	11.86	419200		
1092560	诚威国际投资有限公司	诚威国际	2013-09-30	12.11	253785		
1092560	诚威国际投资有限公司	诚威国际	2013-10-30	13.65	477862		
1092560	诚威国际投资有限公司	诚威国际	11月28日	16.02	332464		
1096079	深圳证券交易所		2012-11-16		2000000		
1096079	安徽亚夏持有公司		2012-11-16		2637640		
1100502	北京华康瑞宏投资有限公司	北京华康瑞宏投资有限公司	2013-10-24	11.24	640		
1103488	广东省医药保健品进出口公司	省医保	2012-12-27	8.86	1186500		
1103488	广东省医药保健品进出口公司	省医保	2012-12-28	7.98	145500		
1103488	广东省医药保健品进出口公司	省医保	2013-09-24	14.91	50000		
1103488	广东省医药保健品进出口公司	省医保	2013-09-25	14.94	410000		
1103488	广东省医药保健品进出口公司	省医保	2013-09-26	14.93	250100	0	0
1104398	永泰控股集团有限公司	永泰控股集团	2013-09-16		5613168		
1104398	永泰控股集团有限公司	永泰控股集团	2013-09-16		8888502		
1104570	淮北矿业（集团）有限责任公司	淮矿集团	2013-09-11		493819		
1104570	淮北矿业（集团）有限责任公司	淮矿集团	2012-09-11		400059		
1104570	淮北矿业（集团）有限责任公司	淮矿集团	2012-09-12		93760		
1104726	香港优创投资集团有限公司	香港优创	2013-09-13	4.28	4000		
1110092	伊藤忠金属株式会社	伊藤忠金属株式会社	2012-05-17		680		
1110092	伊藤忠（中国）集团有限公司	伊藤忠（中国）集团有限公司	2012-12-19		986	——	——
1111720	深圳市君利得商贸有限公司	君利得	2013-08-20		6000000		
1111720	深圳市君利得商贸有限公司	君利得	2013-08-22		3937500		
1112153	深圳广聚投资控股有限公司	深圳广聚投资控股有限公司	2009-12-21		602.73	0	0
1113732	厦门三微创业投资有限公司	厦门三微创业投资有限公司	2011-12-19	25.12	60		
1115072	山东聊城鲁西化工集团有限责任公司	鲁化集团	2012-10-16		980000		
1115072	山东聊城鲁西化工集团有限责任公司	鲁化集团	2012-10-17		16560230		
1115072	山东聊城鲁西化工集团有限责任公司	鲁化集团	2012-12-13		15580230	461481286	
1115078	泰康人寿保险股份有限公司	泰康人寿	2012-12-12	6.98	3443628	6556372	3.38
1120748	深圳市创新投资集团有限公司	深圳市创新投资集团有限公司	2011-12-07	22.495	56.5		
1123887	吉林石岘纸业有限责任公司		2009-11-10		1800000		
1123887	上海证券交易所		11月16日		5200000		
1123887	上海证券交易所		11月16日		30690100		
1124431	昆山泰禾投资有限公司	泰禾投资	2010-11-15	15.97	15.59		
1124431	昆山泰禾投资有限公司	泰禾投资	2010-11-17	16.98	66.765		
1124431	昆山泰禾投资有限公司	泰禾投资	2010-11-18	16.32	50		
112899	深圳证券交易所		2015-03-27		11000000		
112899	日本三轮株式会社	日本三轮	2015-03-27		25930200	14930200	0.0666
1133168	人申能集团财务有限公司	财务公司	2013-07-22		3753000		
1133779	INTELCAPITAL(CAYMAN)CORPORATION	INTELCAPITAL(CAYMAN)CORPORATION	2013-07-17	15.06	855000		
1133779	INTELCAPITAL(CAYMAN)CORPORATION	INTELCAPITAL(CAYMAN)CORPORATION	2013-07-17	15.06	1440000		
1135148	安徽叉车集团有限责任公司	叉车集团	2013-07-08		3676405		
1135148	安徽叉车集团有限责任公司	叉车集团	2012-07-09		421668		
1135148	安徽叉车集团有限责任公司	叉车集团	2013-07-08		3676405		
1135750	深圳证券交易所		2013-05-17		2000000		
1136217	北京汽车集团有限公司	北汽集团	2013-07-04		13260864	938446836	0.334
1138218	新疆东方世纪	新疆东方世纪	2012-06-08	12.32	16.3		
1138218	新疆东方世纪	新疆东方世纪	2012-09-07	11.03	32.512		
1138218	新疆东方世纪	新疆东方世纪	2012-09-10	10.99	8.596		
1138218	新疆东方世纪	新疆东方世纪	2012-11-20	8.6	55		
1138218	新疆东方世纪	新疆东方世纪	2013-05-31	12.08	15		
1138218	新疆东方世纪	新疆东方世纪	2013-06-03	12.28	10		
1138218	新疆东方世纪	新疆东方世纪	2013-06-25	11.42	11.86		
1138218	新疆东方世纪	新疆东方世纪	2013-06-26	12.22	52.5		
